Files already downloaded and verified
Files already downloaded and verified
Calling all workers
Train Epoch: 1, starting to receive info
Train Epoch: 1  [Completed Batches: 10] Loss: 2.303898
Train Epoch: 1  [Completed Batches: 20] Loss: 2.278231
Train Epoch: 1  [Completed Batches: 30] Loss: 2.126028
Train Epoch: 1  [Completed Batches: 40] Loss: 1.986205
Train Epoch: 1  [Completed Batches: 50] Loss: 1.941287
Train Epoch: 1  [Completed Batches: 60] Loss: 1.903157
Train Epoch: 1  [Completed Batches: 70] Loss: 2.061434
Train Epoch: 1  [Completed Batches: 80] Loss: 1.959778
Train Epoch: 1  [Completed Batches: 90] Loss: 1.841844
Train Epoch: 1  [Completed Batches: 100]        Loss: 1.785169
Train Epoch: 1  [Completed Batches: 110]        Loss: 1.719410
Train Epoch: 1  [Completed Batches: 120]        Loss: 1.831229
Train Epoch: 1  [Completed Batches: 130]        Loss: 1.696998
Train Epoch: 1  [Completed Batches: 140]        Loss: 2.008692
Train Epoch: 1  [Completed Batches: 150]        Loss: 1.859661
Train Epoch: 1  [Completed Batches: 160]        Loss: 1.759463
Train Epoch: 1  [Completed Batches: 170]        Loss: 1.790383
Train Epoch: 1  [Completed Batches: 180]        Loss: 1.724830
Train Epoch: 1  [Completed Batches: 190]        Loss: 1.661870
Train Epoch: 1  [Completed Batches: 200]        Loss: 1.616992
Train Epoch: 1  [Completed Batches: 210]        Loss: 1.793203
Train Epoch: 1  [Completed Batches: 220]        Loss: 1.579560
Train Epoch: 1  [Completed Batches: 230]        Loss: 1.631945
Train Epoch: 1  [Completed Batches: 240]        Loss: 1.548099
Train Epoch: 1  [Completed Batches: 250]        Loss: 1.514776
Train Epoch: 1  [Completed Batches: 260]        Loss: 1.566675
Train Epoch: 1  [Completed Batches: 270]        Loss: 1.608132
Train Epoch: 1  [Completed Batches: 280]        Loss: 1.658933
Train Epoch: 1  [Completed Batches: 290]        Loss: 1.733006
Train Epoch: 1  [Completed Batches: 300]        Loss: 1.626716
Train Epoch: 1  [Completed Batches: 310]        Loss: 1.675697
Train Epoch: 1  [Completed Batches: 320]        Loss: 1.621388
Train Epoch: 1  [Completed Batches: 330]        Loss: 1.728873
Train Epoch: 1  [Completed Batches: 340]        Loss: 1.527079
Train Epoch: 1  [Completed Batches: 350]        Loss: 1.627796
Train Epoch: 1  [Completed Batches: 360]        Loss: 1.597626
Train Epoch: 1  [Completed Batches: 370]        Loss: 1.556462
Train Epoch: 1  [Completed Batches: 380]        Loss: 1.573419
Train Epoch: 1  [Completed Batches: 390]        Loss: 1.539792

Test set: Average loss: -2.3332, Accuracy: 4517/10000 (45%)

Train Epoch: 2, starting to receive info
Train Epoch: 2  [Completed Batches: 10] Loss: 1.421883
Train Epoch: 2  [Completed Batches: 20] Loss: 1.497506
Train Epoch: 2  [Completed Batches: 30] Loss: 1.573264
Train Epoch: 2  [Completed Batches: 40] Loss: 1.740483
Train Epoch: 2  [Completed Batches: 50] Loss: 1.445786
Train Epoch: 2  [Completed Batches: 60] Loss: 1.716387
Train Epoch: 2  [Completed Batches: 70] Loss: 1.684580
Train Epoch: 2  [Completed Batches: 80] Loss: 1.530927
Train Epoch: 2  [Completed Batches: 90] Loss: 1.560245
Train Epoch: 2  [Completed Batches: 100]        Loss: 1.657736
Train Epoch: 2  [Completed Batches: 110]        Loss: 1.590674
Train Epoch: 2  [Completed Batches: 120]        Loss: 1.606383
Train Epoch: 2  [Completed Batches: 130]        Loss: 1.520581
Train Epoch: 2  [Completed Batches: 140]        Loss: 1.762514
Train Epoch: 2  [Completed Batches: 150]        Loss: 1.569264
Train Epoch: 2  [Completed Batches: 160]        Loss: 1.648424
Train Epoch: 2  [Completed Batches: 170]        Loss: 1.460446
Train Epoch: 2  [Completed Batches: 180]        Loss: 1.520388
Train Epoch: 2  [Completed Batches: 190]        Loss: 1.496263
Train Epoch: 2  [Completed Batches: 200]        Loss: 1.374901
Train Epoch: 2  [Completed Batches: 210]        Loss: 1.476266
Train Epoch: 2  [Completed Batches: 220]        Loss: 1.447398
Train Epoch: 2  [Completed Batches: 230]        Loss: 1.487732
Train Epoch: 2  [Completed Batches: 240]        Loss: 1.332807
Train Epoch: 2  [Completed Batches: 250]        Loss: 1.410199
Train Epoch: 2  [Completed Batches: 260]        Loss: 1.481057
Train Epoch: 2  [Completed Batches: 270]        Loss: 1.686111
Train Epoch: 2  [Completed Batches: 280]        Loss: 1.467044
Train Epoch: 2  [Completed Batches: 290]        Loss: 1.544931
Train Epoch: 2  [Completed Batches: 300]        Loss: 1.395505
Train Epoch: 2  [Completed Batches: 310]        Loss: 1.514347
Train Epoch: 2  [Completed Batches: 320]        Loss: 1.473673
Train Epoch: 2  [Completed Batches: 330]        Loss: 1.531923
Train Epoch: 2  [Completed Batches: 340]        Loss: 1.464004
Train Epoch: 2  [Completed Batches: 350]        Loss: 1.444350
Train Epoch: 2  [Completed Batches: 360]        Loss: 1.442932
Train Epoch: 2  [Completed Batches: 370]        Loss: 1.400276
Train Epoch: 2  [Completed Batches: 380]        Loss: 1.384438
Train Epoch: 2  [Completed Batches: 390]        Loss: 1.570684

Test set: Average loss: -2.6308, Accuracy: 4689/10000 (47%)

Train Epoch: 3, starting to receive info
Train Epoch: 3  [Completed Batches: 10] Loss: 1.398502
Train Epoch: 3  [Completed Batches: 20] Loss: 1.330910
Train Epoch: 3  [Completed Batches: 30] Loss: 1.369114
Train Epoch: 3  [Completed Batches: 40] Loss: 1.446205
Train Epoch: 3  [Completed Batches: 50] Loss: 1.445611
Train Epoch: 3  [Completed Batches: 60] Loss: 1.466063
Train Epoch: 3  [Completed Batches: 70] Loss: 1.439256
Train Epoch: 3  [Completed Batches: 80] Loss: 1.481787
Train Epoch: 3  [Completed Batches: 90] Loss: 1.444838
Train Epoch: 3  [Completed Batches: 100]        Loss: 1.517544
Train Epoch: 3  [Completed Batches: 110]        Loss: 1.508816
Train Epoch: 3  [Completed Batches: 120]        Loss: 1.432352
Train Epoch: 3  [Completed Batches: 130]        Loss: 1.304431
Train Epoch: 3  [Completed Batches: 140]        Loss: 1.630298
Train Epoch: 3  [Completed Batches: 150]        Loss: 1.433868
Train Epoch: 3  [Completed Batches: 160]        Loss: 1.606717
Train Epoch: 3  [Completed Batches: 170]        Loss: 1.432368
Train Epoch: 3  [Completed Batches: 180]        Loss: 1.430241
Train Epoch: 3  [Completed Batches: 190]        Loss: 1.403047
Train Epoch: 3  [Completed Batches: 200]        Loss: 1.368440
Train Epoch: 3  [Completed Batches: 210]        Loss: 1.477340
Train Epoch: 3  [Completed Batches: 220]        Loss: 1.451039
Train Epoch: 3  [Completed Batches: 230]        Loss: 1.552485
Train Epoch: 3  [Completed Batches: 240]        Loss: 1.325116
Train Epoch: 3  [Completed Batches: 250]        Loss: 1.381473
Train Epoch: 3  [Completed Batches: 260]        Loss: 1.504916
Train Epoch: 3  [Completed Batches: 270]        Loss: 1.471189
Train Epoch: 3  [Completed Batches: 280]        Loss: 1.549149
Train Epoch: 3  [Completed Batches: 290]        Loss: 1.518410
Train Epoch: 3  [Completed Batches: 300]        Loss: 1.323959
Train Epoch: 3  [Completed Batches: 310]        Loss: 1.394475
Train Epoch: 3  [Completed Batches: 320]        Loss: 1.603469
Train Epoch: 3  [Completed Batches: 330]        Loss: 1.449425
Train Epoch: 3  [Completed Batches: 340]        Loss: 1.325813
Train Epoch: 3  [Completed Batches: 350]        Loss: 1.422338
Train Epoch: 3  [Completed Batches: 360]        Loss: 1.397663
Train Epoch: 3  [Completed Batches: 370]        Loss: 1.134656
Train Epoch: 3  [Completed Batches: 380]        Loss: 1.321116
Train Epoch: 3  [Completed Batches: 390]        Loss: 1.365954

Test set: Average loss: -3.1073, Accuracy: 5159/10000 (52%)

Train Epoch: 4, starting to receive info
Train Epoch: 4  [Completed Batches: 10] Loss: 1.287750
Train Epoch: 4  [Completed Batches: 20] Loss: 1.305875
Train Epoch: 4  [Completed Batches: 30] Loss: 1.387902
Train Epoch: 4  [Completed Batches: 40] Loss: 1.412530
Train Epoch: 4  [Completed Batches: 50] Loss: 1.335506
Train Epoch: 4  [Completed Batches: 60] Loss: 1.305289
Train Epoch: 4  [Completed Batches: 70] Loss: 1.399851
Train Epoch: 4  [Completed Batches: 80] Loss: 1.390707
Train Epoch: 4  [Completed Batches: 90] Loss: 1.435272
