Calling all workers
Train Epoch: 1, starting to receive info
Train Epoch: 1  [Completed Batches: 10] Loss: 2.310553
Train Epoch: 1  [Completed Batches: 20] Loss: 2.308561
Train Epoch: 1  [Completed Batches: 30] Loss: 2.246911
Train Epoch: 1  [Completed Batches: 40] Loss: 2.476998
Train Epoch: 1  [Completed Batches: 50] Loss: 5.234307
Train Epoch: 1  [Completed Batches: 60] Loss: 5.193519
Train Epoch: 1  [Completed Batches: 70] Loss: 3.023453
Train Epoch: 1  [Completed Batches: 80] Loss: 2.366454
Train Epoch: 1  [Completed Batches: 90] Loss: 2.335992
Train Epoch: 1  [Completed Batches: 100]        Loss: 2.314502
Train Epoch: 1  [Completed Batches: 110]        Loss: 2.305034
Train Epoch: 1  [Completed Batches: 120]        Loss: 2.320467
Train Epoch: 1  [Completed Batches: 130]        Loss: 2.297757
Train Epoch: 1  [Completed Batches: 140]        Loss: 2.316165
Train Epoch: 1  [Completed Batches: 150]        Loss: 2.314244
Train Epoch: 1  [Completed Batches: 160]        Loss: 2.306383
Train Epoch: 1  [Completed Batches: 170]        Loss: 2.313259
Train Epoch: 1  [Completed Batches: 180]        Loss: 2.296971
Train Epoch: 1  [Completed Batches: 190]        Loss: 2.311603
Train Epoch: 1  [Completed Batches: 200]        Loss: 2.299176
Train Epoch: 1  [Completed Batches: 210]        Loss: 2.299789
Train Epoch: 1  [Completed Batches: 220]        Loss: 2.315737
Train Epoch: 1  [Completed Batches: 230]        Loss: 2.307452
Train Epoch: 1  [Completed Batches: 240]        Loss: 2.294102
Train Epoch: 1  [Completed Batches: 250]        Loss: 2.335518
Train Epoch: 1  [Completed Batches: 260]        Loss: 2.303169
Train Epoch: 1  [Completed Batches: 270]        Loss: 2.318753
Train Epoch: 1  [Completed Batches: 280]        Loss: 2.297848
Train Epoch: 1  [Completed Batches: 290]        Loss: 2.305605
Train Epoch: 1  [Completed Batches: 300]        Loss: 2.304461
Train Epoch: 1  [Completed Batches: 310]        Loss: 2.302810
Train Epoch: 1  [Completed Batches: 320]        Loss: 2.297561
Train Epoch: 1  [Completed Batches: 330]        Loss: 2.299271
Train Epoch: 1  [Completed Batches: 340]        Loss: 2.303091
Train Epoch: 1  [Completed Batches: 350]        Loss: 2.304500
Train Epoch: 1  [Completed Batches: 360]        Loss: 2.298934
Train Epoch: 1  [Completed Batches: 370]        Loss: 2.298282
Train Epoch: 1  [Completed Batches: 380]        Loss: 2.303588
Train Epoch: 1  [Completed Batches: 390]        Loss: 2.313474

Test set: Average loss: -0.0144, Accuracy: 1000/10000 (10%)

Train Epoch: 2, starting to receive info
Train Epoch: 2  [Completed Batches: 10] Loss: 2.310479
